"Bib Number","Rank","Birth Year","Nation","Time","FIS Points","index","url"
"58","53","1992","RUS","29:23.0","134.78","54","https://data.fis-ski.com/dynamic/results.html?sector=CC&raceid=24164"
"12","54","1987","AUS","29:28.0","137.43","55","https://data.fis-ski.com/dynamic/results.html?sector=CC&raceid=24164"
"42","55","1990","CZE","29:32.0","139.55","56","https://data.fis-ski.com/dynamic/results.html?sector=CC&raceid=24164"
"18","56","1991","POL","29:38.9","143.21","57","https://data.fis-ski.com/dynamic/results.html?sector=CC&raceid=24164"
"50","57","1989","UKR","29:43.6","145.71","58","https://data.fis-ski.com/dynamic/results.html?sector=CC&raceid=24164"
"20","58","1986","BUL","29:44.8","146.34","59","https://data.fis-ski.com/dynamic/results.html?sector=CC&raceid=24164"
"46","59","1981","KAZ","30:02.8","155.89","60","https://data.fis-ski.com/dynamic/results.html?sector=CC&raceid=24164"
"34","60","1991","AUS","30:12.2","160.87","61","https://data.fis-ski.com/dynamic/results.html?sector=CC&raceid=24164"
"6","61","1995","AUS","30:49.0","180.38","62","https://data.fis-ski.com/dynamic/results.html?sector=CC&raceid=24164"
"69","62","1985","HUN","30:58.3","185.31","63","https://data.fis-ski.com/dynamic/results.html?sector=CC&raceid=24164"
"40","63","1988","KAZ","31:00.4","186.43","64","https://data.fis-ski.com/dynamic/results.html?sector=CC&raceid=24164"
"67","64","1992","CHN","31:03.9","188.28","65","https://data.fis-ski.com/dynamic/results.html?sector=CC&raceid=24164"
"64","65","1993","AUT","31:15.0","194.17","66","https://data.fis-ski.com/dynamic/results.html?sector=CC&raceid=24164"
"24","65","1983","AUS","31:15.0","194.17","67","https://data.fis-ski.com/dynamic/results.html?sector=CC&raceid=24164"
"44","67","1993","KAZ","31:53.5","214.58","68","https://data.fis-ski.com/dynamic/results.html?sector=CC&raceid=24164"
"70","68","1991","MKD","33:08.4","254.29","69","https://data.fis-ski.com/dynamic/results.html?sector=CC&raceid=24164"
"68","69","1991","LAT","34:37.4","301.48","70","https://data.fis-ski.com/dynamic/results.html?sector=CC&raceid=24164"
"66","70","1993","ARM","35:39.8","334.57","71","https://data.fis-ski.com/dynamic/results.html?sector=CC&raceid=24164"
"71","","1991","BIH","","","72","https://data.fis-ski.com/dynamic/results.html?sector=CC&raceid=24164"
